											
Psalms	100	102:14		Psalms	100	101					
Leviticus	8:22	8:36	Isaiah	10:8	11:5	Job	30:24	31:23	Acts	6:8	7:16
Leviticus	9:1	9:14	Isaiah	11:6	13:8	Job	31:24	32:10	Acts	7:17	7:34
Leviticus	9:15	10:5	Isaiah	13:9	14:17	Job	32:11	33:13	Acts	7:35	7:53
Leviticus	10:6	10:15	Isaiah	14:18	15:9	Job	33:14	34:9	Acts	7:54	8:17
Leviticus	10:16	11:12	Isaiah	16	17	Job	34:10	34:37	Acts	8:18	8:40
Leviticus	11:13	11:33	Isaiah	18:1	19:17	Job	35:1	36:15	Acts	9:1	9:22
Leviticus	11:34	11:47	Isaiah	19:18	21	Job	36:16	37:13	Acts	9:23	9:43
Leviticus	12:1	13:8	Isaiah	22		Job	37:14	38:15	Acts	10:1	10:20
Leviticus	13:9	13:23	Isaiah	23:1	24:12	Job	38:16	38:41	Acts	10:21	10:38
Leviticus	13:24	13:37	Isaiah	24:13	26:6	Job	39:1	39:30	Acts	10:39	11:14
Leviticus	13:38	13:54	Isaiah	26:7	27:13	Job	40		Acts	11:15	11:30
Leviticus	13:55	14:9	Isaiah	28		Job	41		Acts	12	
Leviticus	14:10	14:22	Isaiah	29		Job	42		Acts	13:1	13:15
Leviticus	14:23	14:38	Isaiah	30:1	30:26	Psalms	1, 2	3	Acts	13:16	13:37
Leviticus	14:39	14:57	Isaiah	30:27	32:8	Psalms	4	5	Acts	13:38	13:52
Leviticus	15:1	15:15	Isaiah	32:9	33:19	Psalms	6	7	Acts	14	
Leviticus	15:16	15:27	Isaiah	33:20	34:17	Psalms	8	9	Acts	15:1	15:21
Leviticus	15:28	16:10	Isaiah	35	36	Psalms	10		Acts	15:22	15:35
Leviticus	16:11	16:22	Isaiah	37:1	37:25	Psalms	11, 12	13	Acts	15:36	16:15
Leviticus	16:23	16:34	Isaiah	37:26	38:14	Psalms	14, 15	16	Acts	16:16	16:40
Leviticus	17		Isaiah	38:15	40:8	Psalms	17	18:15	Acts	17:1	17:21
Leviticus	18:1	18:16	Isaiah	40:9	41:9	Psalms	18:16	18:42	Acts	17:22	18:3
Leviticus	18:17	18:30	Isaiah	41:10	42:9	Psalms	18:43	19	Acts	18:4	18:23
Leviticus	19:1	19:18	Isaiah	42:10	43:13	Psalms	20	21	Acts	18:24	19:12
Leviticus	19:19	19:37	Isaiah	43:14	44:11	Psalms	22		Acts	19:13	19:34
Leviticus	20:1	20:16	Isaiah	44:12	45:10	Psalms	23	24	Acts	19:35	20:12
Leviticus	20:17	20:27	Isaiah	45:11	46:11	Psalms	25	26	Acts	20:13	20:32
Leviticus	21:1	21:15	Isaiah	46:12	48:8	Psalms	27	28	Acts	20:33	21:14
Leviticus	21:16	22:9	Isaiah	48:9	49:12	Psalms	29	30	Acts	21:15	21:32
Leviticus	22:10	22:25	Isaiah	49:13	50:9	Psalms	31		Acts	21:33	22:16
Leviticus	22:26	23:14	Isaiah	50:10	51:23	Psalms	32	33	Acts	22:17	23:5
Leviticus	23:15	23:25	Isaiah	52	53	Psalms	34		Acts	23:6	23:21
Leviticus	23:26	23:44	Isaiah	54	55:5	Psalms	35		Acts	23:22	24:4
Leviticus	24:1	24:16	Isaiah	55:6	57:6	Psalms	36		Acts	24:5	24:26
Leviticus	24:17	25:7	Isaiah	57:7	58:12	Psalms	37		Acts	24:27	25:12
Leviticus	25:8	25:28	Isaiah	58:13	59:21	Psalms	38		Acts	25:13	26:8
Leviticus	25:29	25:43	Isaiah	60	61:3	Psalms	39	40	Acts	26:9	26:32
Leviticus	25:44	25:55	Isaiah	61:4	63:6	Psalms	41		Acts	27:1	27:20
